origin,destination,count
79,57,1
87,103,12
76,19,1
15,56,1
85,56,2
77,97,32
128,125,71
71,103,21
102,74,50
84,94,114
74,76,40
103,107,27
107,119,32
97,85,3
68,68,90
128,88,27
128,82,11
73,74,18
98,64,3
76,53,17
103,114,34
113,136,15
146,146,5
146,63,2
92,42,10
66,65,59
65,68,9
117,118,68
114,113,16
102,124,50
126,40,1
84,63,61
103,113,113
126,74,8
86,103,10
83,128,11
125,119,15
92,106,12
92,66,32
94,65,17
107,104,32
104,98,12
98,26,2
118,124,20
124,125,59
114,92,25
108,68,20
78,128,22
126,125,58
125,94,76
102,94,133
104,82,18
106,128,35
129,68,10
68,94,10
118,98,25
118,83,8
119,77,9
78,107,14
77,47,29
76,65,26
118,103,25
128,97,50
55,63,5
84,114,15
125,117,21
117,77,23
67,83,12
126,115,17
115,135,28
126,126,42
63,1,4
62,1,2
21,33,11
22,33,16
33,11,3
21,93,4
45,56,21
56,130,3
118,93,19
45,37,40
47,63,5
35,66,8
35,48,2
76,76,71
67,78,42
87,67,23
45,27,44
37,66,24
65,37,11
35,63,3
82,102,70
82,81,11
82,124,8
53,11,12
103,106,24
97,136,9
144,117,3
107,103,23
44,56,17
71,64,3
96,129,6
83,75,55
135,124,38
124,21,1
52,74,13
66,104,26
85,63,6
94,136,31
126,84,12
135,136,26
125,105,2
49,108,3
84,103,120
76,66,62
86,86,39
89,75,3
124,104,43
53,83,43
73,104,8
128,74,21
87,148,2
138,125,3
82,113,16
56,77,20
77,106,12
107,109,15
92,71,63
63,71,44
126,63,13
53,75,35
84,68,9
66,64,30
83,114,10
103,66,39
93,61,2
61,53,3
136,136,68
136,104,20
135,65,7
67,44,9
92,125,29
94,67,11
78,79,9
103,27,8
27,86,2
84,76,28
102,71,41
86,102,7
145,94,9
93,34,1
44,63,28
64,86,7
74,136,12
125,124,81
137,124,1
125,75,10
94,108,41
94,53,28
115,124,11
97,108,54
108,65,5
74,63,72
94,135,44
134,124,13
126,49,2
49,68,4
67,107,25
104,128,30
125,106,17
84,124,15
45,86,4
103,83,180
93,26,9
36,104,1
104,104,105
104,113,30
63,63,122
62,104,8
102,68,7
80,128,6
93,126,22
104,92,88
103,80,11
18,54,2
75,103,45
67,77,77
77,118,35
74,94,83
94,124,40
85,84,8
67,26,14
37,45,30
46,47,4
53,56,16
56,107,6
118,67,19
88,136,4
146,107,1
108,114,4
136,94,25
63,57,7
58,96,1
113,113,64
113,84,24
113,103,104
66,45,40
45,66,39
48,77,15
75,56,13
56,92,10
45,84,14
76,107,34
107,98,29
66,127,8
128,94,57
93,55,17
55,76,11
94,125,88
125,118,39
118,139,22
103,124,53
62,63,25
63,44,35
66,74,76
92,77,9
92,52,21
92,62,16
93,54,13
93,104,76
89,71,1
73,84,17
75,63,47
63,52,29
86,97,11
97,128,45
128,138,29
138,128,10
130,88,7
136,134,16
75,67,45
79,103,3
124,136,25
125,104,83
107,65,7
75,87,26
67,117,18
117,76,17
97,84,13
84,32,2
75,53,34
97,103,17
75,106,6
66,44,25
53,43,44
62,117,1
117,108,52
136,96,2
106,126,17
108,88,35
88,107,13
56,118,5
128,149,8
128,37,4
66,117,12
128,126,56
125,64,8
52,72,15
102,55,12
84,45,13
94,113,47
115,92,14
127,129,16
129,127,39
129,106,15
106,129,12
87,114,2
104,114,29
58,21,1
117,46,3
45,75,13
125,135,96
136,114,21
71,73,6
75,96,10
77,76,62
57,77,19
63,92,61
93,78,9
78,78,28
88,128,15
114,134,14
145,102,8
104,67,7
37,98,1
119,103,5
45,114,1
45,78,5
67,129,11
125,63,26
11,102,1
135,72,3
134,125,21
144,129,9
128,59,2
69,66,30
66,75,105
65,93,12
36,63,7
48,76,3
45,53,39
27,93,3
103,97,23
96,73,2
64,17,2
108,106,21
106,84,9
84,58,7
65,76,17
85,32,1
33,23,3
33,43,10
82,37,4
58,77,19
86,83,7
103,126,20
125,93,35
102,135,40
135,67,2
128,102,18
103,62,7
52,94,18
94,74,110
75,117,14
128,73,10
136,77,11
128,77,56
77,96,5
96,69,3
68,125,6
124,114,19
77,72,3
125,84,33
113,75,5
65,75,55
63,104,26
135,145,25
103,96,10
98,78,7
88,117,14
107,129,59
98,74,4
78,136,9
68,69,18
46,57,6
130,126,8
136,108,14
88,88,26
78,106,4
79,97,2
97,65,4
74,62,12
63,75,41
136,87,10
76,75,52
86,88,5
76,128,27
130,97,7
67,47,29
47,118,6
98,108,27
76,93,14
87,87,75
88,47,4
67,108,30
76,108,25
88,18,1
37,74,5
37,46,16
77,104,12
129,125,21
125,33,1
11,52,11
67,60,7
78,57,10
57,75,8
56,17,7
66,87,42
128,92,39
83,64,24
118,75,22
32,97,1
68,49,10
58,66,39
106,125,19
125,97,10
138,63,4
66,63,40
87,89,14
87,75,29
76,63,19
73,149,1
148,137,2
118,137,16
56,57,8
83,47,9
37,17,5
68,77,39
68,44,1
87,68,18
68,109,1
108,130,26
74,32,2
33,53,35
75,65,42
65,118,12
129,135,35
136,135,33
127,89,3
76,88,18
68,58,22
77,56,23
56,69,7
67,97,24
98,77,20
77,69,42
69,48,12
27,33,2
53,47,25
11,53,8
84,53,22
117,96,13
96,102,5
113,92,70
98,107,19
136,148,2
128,93,14
94,81,6
118,125,42
97,94,26
94,64,21
69,68,30
67,16,8
58,37,20
67,25,2
67,98,14
108,124,8
124,135,42
118,145,6
145,125,42
52,62,12
84,145,3
124,103,44
74,64,30
64,83,23
98,46,1
48,108,9
119,83,2
75,10,2
77,128,53
117,98,11
108,89,14
77,117,29
118,92,17
96,76,14
76,104,12
103,86,18
86,135,7
135,115,22
115,134,6
124,129,7
107,77,51
77,83,25
74,128,11
67,58,50
58,84,10
84,82,24
114,126,11
127,135,9
135,118,12
135,134,29
135,125,65
134,129,5
144,125,12
125,77,15
53,66,48
129,42,2
58,47,31
128,64,11
84,107,21
68,108,13
135,64,1
64,54,12
75,54,36
54,62,4
64,108,1
64,104,3
97,109,5
64,55,7
54,107,4
75,47,11
47,55,12
115,66,7
65,54,14
55,66,26
66,78,16
55,126,1
55,134,1
56,75,18
56,103,11
56,93,14
65,124,5
55,107,5
55,83,9
102,53,32
115,71,1
88,57,1
66,82,27
106,96,12
96,83,6
82,83,64
92,74,50
68,107,13
98,104,3
145,117,3
98,118,22
145,126,14
68,128,10
119,126,3
115,136,22
88,68,9
85,118,4
124,63,13
63,67,17
55,44,9
44,42,6
82,73,16
73,63,29
62,80,10
107,145,6
102,98,11
54,19,1
36,54,11
63,102,31
36,74,3
93,134,13
134,104,11
104,66,7
72,64,3
80,62,8
45,26,21
104,53,8
128,83,16
73,83,40
103,55,9
